,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,Explanation,Min_Price($),Max_Price($)
6180,La Table d'Angèle,"30 Grande-Rue, La Bresse, 88250, France",La Bresse,24.0,66.0,EUR,Modern Cuisine,6.8708228,48.00006,33329254197,https://guide.michelin.com/en/grand-est/la-bresse/restaurant/la-table-d-angele,https://www.la-table-dangele.com/,Bib Gourmand,Good food at moderate prices,28.392000000000003,78.078
6181,Le Soubise,"49 route de Bergues, Coudekerque-Branche, 59210, France",Coudekerque-Branche,28.0,55.0,EUR,Classic Cuisine,2.3827136,51.0037031,33328646600,https://guide.michelin.com/en/hauts-de-france/coudekerque-branche/restaurant/le-soubise,http://www.restaurant-soubise.com,Bib Gourmand,Good food at moderate prices,33.124,65.065
6182,La Table de Pablo,"Hameau Les Petits-Cléments, Villars, 84400, France",Villars,33.0,50.0,EUR,Market Cuisine,5.4200127,43.9291305,33490754518,https://guide.michelin.com/en/provence-alpes-cote-dazur/villars/restaurant/la-table-de-pablo,https://www.latabledepablo.com/,Bib Gourmand,Good food at moderate prices,39.039,59.150000000000006
6183,Air Accueil,"50 rue Nationale, Brebières, 62117, France",Brebières,35.0,65.0,EUR,Modern Cuisine,3.003453,50.3358,33321500102,https://guide.michelin.com/en/hauts-de-france/brebires/restaurant/air-accueil,https://www.air-accueil-restaurant.com/,Bib Gourmand,Good food at moderate prices,41.405,76.89500000000001
6184,Bistrot la Coulemelle,"2 rue du Fanget, Saint-Bonnet-le-Froid, 43290, France",Saint-Bonnet-le-Froid,34.0,55.0,EUR,Traditional Cuisine,4.4357631,45.1421938,33471656362,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-bonnet-le-froid/restaurant/bistrot-la-coulemelle,https://www.lesmaisonsmarcon.fr/,Bib Gourmand,Good food at moderate prices,40.222,65.065
6186,Atmosphère,"123 place Balmat, Chamonix-Mont-Blanc, 74400, France",Chamonix-Mont-Blanc,30.0,110.0,EUR,Traditional Cuisine,6.8698599,45.9231828,33450559797,https://guide.michelin.com/en/auvergne-rhone-alpes/chamonix-mont-blanc/restaurant/atmosphere,http://www.restaurant-atmosphere.com,Bib Gourmand,Good food at moderate prices,35.49,130.13
6187,Le Radis Beurre,"51 boulevard Garibaldi, Paris, 75015, France",Paris,39.0,54.0,EUR,Traditional Cuisine,2.3081096,48.8462355,33140339926,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-radis-beurre,https://www.restaurantleradisbeurre.com/,Bib Gourmand,Good food at moderate prices,46.137,63.882000000000005
6188,La Griotte,"3 rue des Cerisiers, Saules, 25580, France",Saules,29.0,50.0,EUR,Traditional Cuisine,6.1991298,47.1239245,33381571771,https://guide.michelin.com/en/bourgogne-franche-comte/saules/restaurant/la-griotte,https://www.lagriotte.fr/,Bib Gourmand,Good food at moderate prices,34.307,59.150000000000006
6189,La Loge Bertin,"62 avenue Jean Giono, Manosque, 04100, France",Manosque,34.0,34.0,EUR,Modern Cuisine,5.786332,43.8279928,33486741846,https://guide.michelin.com/en/provence-alpes-cote-dazur/manosque/restaurant/la-loge-bertin,https://www.lalogebertin.fr/,Bib Gourmand,Good food at moderate prices,40.222,40.222
6190,Comptoir Breizh Café,"6 rue de l'Orme, Saint-Malo, 35400, France",Saint-Malo,35.0,35.0,EUR,Breton,-2.0251233,48.6479451,33299569608,https://guide.michelin.com/en/bretagne/saint-malo/restaurant/le-comptoir-breizh-cafe,https://www.breizhcafe.com/,Bib Gourmand,Good food at moderate prices,41.405,41.405
