,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,Explanation,Min_Price($),Max_Price($)
429,Jordnær,"Gentoftegade 29, Copenhagen, 2820, Denmark",Copenhagen,2700.0,2700.0,DKK,Creative,12.5411721,55.748181,4522408020,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/jordnaer,http://www.restaurantjordnaer.dk/,2 MICHELIN Stars,Worth a detour,405.0,405.0
430,Kong Hans Kælder,"Vingaardsstræde 6, Copenhagen, 1070 K, Denmark",Copenhagen,1700.0,1700.0,DKK,"Modern French, Seasonal Cuisine",12.5839958,55.6787423,4533116868,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/kong-hans-kaelder,https://www.konghans.dk/,2 MICHELIN Stars,Worth a detour,255.0,255.0
431,Alchemist,"Refshalevej 173C, Copenhagen, 1432 K, Denmark",Copenhagen,3500.0,3500.0,DKK,Innovative,12.6137461,55.6940951,4531716161,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/alchemist,https://www.alchemist.dk/,2 MICHELIN Stars,Worth a detour,525.0,525.0
432,Shoukouwa,"1 Fullerton Road, 049213, Singapore",Singapore,320.0,650.0,SGD,Sushi,103.854,1.2863698,6564239939,https://guide.michelin.com/en/singapore-region/singapore/restaurant/shoukouwa,https://www.shoukouwa.com.sg/,2 MICHELIN Stars,Worth a detour,233.6,474.5
433,Shisen Hanten,"333 Orchard Road, 238867, Singapore",Singapore,150.0,150.0,SGD,"Cantonese, Sichuan",103.8365,1.302395,6568316262,https://guide.michelin.com/en/singapore-region/singapore/restaurant/shisen-hanten,https://www.shisenhanten.com.sg/,2 MICHELIN Stars,Worth a detour,109.5,109.5
434,Saint Pierre,"1 Fullerton Road, 049213, Singapore",Singapore,158.0,388.0,SGD,French Contemporary,103.854219,1.2862377,6564380887,https://guide.michelin.com/en/singapore-region/singapore/restaurant/saint-pierre,https://www.saintpierre.com.sg/,2 MICHELIN Stars,Worth a detour,115.34,283.24
435,Waku Ghin,"10 Bayfront Avenue, 018956, Singapore",Singapore,550.0,700.0,SGD,Japanese Contemporary,103.8598,1.283175,6566888507,https://guide.michelin.com/en/singapore-region/singapore/restaurant/waku-ghin,https://www.marinabaysands.com/,2 MICHELIN Stars,Worth a detour,401.5,511.0
436,Jaan by Kirk Westaway,"2 Stamford Road, 178882, Singapore",Singapore,118.0,288.0,SGD,British Contemporary,103.85314,1.293387,6568741488,https://guide.michelin.com/en/singapore-region/singapore/restaurant/jaan-by-kirk-westaway,https://www.jaan.com.sg/,2 MICHELIN Stars,Worth a detour,86.14,210.24
445,The Modern,"9 W. 53rd St., New York, 10019, United States",New York,138.0,188.0,USD,Contemporary,-73.97628,40.76106,12123331220,https://guide.michelin.com/en/new-york-state/new-york/restaurant/the-modern,https://www.themodernnyc.com/,2 MICHELIN Stars,Worth a detour,138.0,188.0
446,Blue Hill at Stone Barns,"630 Bedford Rd., Tarrytown, 10591, United States",Tarrytown,195.0,278.0,USD,"American, Contemporary",-73.8292966,41.1007146,19143669600,https://guide.michelin.com/en/new-york-state/tarrytown/restaurant/blue-hill-at-stone-barns,http://www.bluehillfarm.com/,2 MICHELIN Stars,Worth a detour,195.0,278.0
447,Ko,"8 Extra Pl., New York, 10003, United States",New York,225.0,225.0,USD,Contemporary,-73.9916056,40.7246476,12125000831,https://guide.michelin.com/en/new-york-state/new-york/restaurant/ko,https://www.momofuku.com/,2 MICHELIN Stars,Worth a detour,225.0,225.0
448,Atomix,"104 E. 30th St., New York, 10016, United States",New York,36.0,325.0,USD,"Korean, Contemporary",-73.9826751,40.7443058,0,https://guide.michelin.com/en/new-york-state/new-york/restaurant/atomix,https://www.atomixnyc.com/,2 MICHELIN Stars,Worth a detour,36.0,325.0
449,Atera,"77 Worth St., New York, 10013, United States",New York,285.0,285.0,USD,Contemporary,-74.0055912,40.7168498,12122261444,https://guide.michelin.com/en/new-york-state/new-york/restaurant/atera,http://www.ateranyc.com/,2 MICHELIN Stars,Worth a detour,285.0,285.0
450,Jean-Georges,"1 Central Park West, New York, 10023, United States",New York,148.0,248.0,USD,"Contemporary, French Contemporary",-73.98155,40.76907,12122993900,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jean-georges,https://www.jean-georgesrestaurant.com/,2 MICHELIN Stars,Worth a detour,148.0,248.0
451,Blanca,"261 Moore St., New York, 11206, United States",New York,198.0,198.0,USD,Contemporary,-73.9336873,40.7049906,13477992807,https://guide.michelin.com/en/new-york-state/new-york/restaurant/blanca,https://www.blancanyc.com/,2 MICHELIN Stars,Worth a detour,198.0,198.0
452,Jungsik,"2 Harrison St., New York, 10013, United States",New York,165.0,235.0,USD,"Korean, Contemporary",-74.00911,40.718685,12122190900,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jungsik,https://www.jungsik.com/,2 MICHELIN Stars,Worth a detour,165.0,235.0
453,Gabriel Kreuther,"41 W. 42nd St., New York, 10036, United States",New York,90.0,245.0,USD,"Contemporary, Alsatian",-73.982025,40.75397,12122575826,https://guide.michelin.com/en/new-york-state/new-york/restaurant/gabriel-kreuther,https://www.gknyc.com/,2 MICHELIN Stars,Worth a detour,90.0,245.0
454,Aska,"47 S. 5th St., New York, 11249, United States",New York,295.0,295.0,USD,"Scandinavian, Contemporary",-73.9669769,40.7125069,19293376792,https://guide.michelin.com/en/new-york-state/new-york/restaurant/aska,https://www.askanyc.com/,2 MICHELIN Stars,Worth a detour,295.0,295.0
455,L'Atelier de Joël Robuchon,"85 Tenth Ave., New York, 10011, United States",New York,145.0,235.0,USD,French,-74.0077138,40.7428946,12124888885,https://guide.michelin.com/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505,https://latelier-newyork.com/,2 MICHELIN Stars,Worth a detour,145.0,235.0
456,Daniel,"60 E. 65th St., New York, 10065, United States",New York,158.0,250.0,USD,French,-73.9675039,40.7667521,12122880033,https://guide.michelin.com/en/new-york-state/new-york/restaurant/daniel,https://www.danielnyc.com/,2 MICHELIN Stars,Worth a detour,158.0,250.0
457,Aquavit,"65 E. 55th St., New York, 10022, United States",New York,78.0,155.0,USD,"Scandinavian, Contemporary",-73.97214,40.76078,12123077311,https://guide.michelin.com/en/new-york-state/new-york/restaurant/aquavit,https://www.aquavit.org/,2 MICHELIN Stars,Worth a detour,78.0,155.0
458,Oriole,"661 W. Walnut St., Chicago, 60661, United States",Chicago,285.0,285.0,USD,"Contemporary, American Contemporary",-87.64513,41.886196,13128775339,https://guide.michelin.com/en/illinois/chicago/restaurant/oriole,https://www.oriolechicago.com/,2 MICHELIN Stars,Worth a detour,285.0,285.0
459,Smyth,"177 N. Ada St., Chicago, 60607, United States",Chicago,265.0,265.0,USD,"Contemporary, Modern Cuisine",-87.6609432,41.8850391,17739133773,https://guide.michelin.com/en/illinois/chicago/restaurant/smyth,https://www.smythandtheloyalist.com/,2 MICHELIN Stars,Worth a detour,265.0,265.0
460,Ever,"1340 W. Fulton Market, Chicago, 60607, United States",Chicago,285.0,285.0,USD,"Contemporary, Modern Cuisine",-87.6595739,41.8867166,0,https://guide.michelin.com/en/illinois/chicago/restaurant/ever,https://www.ever-restaurant.com/,2 MICHELIN Stars,Worth a detour,285.0,285.0
461,Moody Tongue,"2515 S. Wabash Ave., Chicago, 60616, United States",Chicago,285.0,330.0,USD,"Contemporary, American Contemporary",-87.6252282,41.8469648,13126005111,https://guide.michelin.com/en/illinois/chicago/restaurant/moody-tongue,https://www.moodytongue.com/,2 MICHELIN Stars,Worth a detour,285.0,330.0
462,Jônt,"1906 14th St. NW, Washington, 20009, United States",Washington,305.0,305.0,USD,Contemporary,-77.0321498,38.9158847,12025187926,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/jont,https://www.jontdc.com/,2 MICHELIN Stars,Worth a detour,305.0,305.0
463,Pineapple and Pearls,"715 8th St. SE, Washington, 20003, United States",Washington,150.0,325.0,USD,Contemporary,-76.99514,38.880707,12025957375,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/pineapple-and-pearls,https://www.pineappleandpearls.com/,2 MICHELIN Stars,Worth a detour,150.0,325.0
464,minibar,"855 E St. NW, Washington, 20004, United States",Washington,295.0,295.0,USD,Contemporary,-77.02386,38.896294,12023930812,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/minibar,https://www.minibarbyjoseandres.com/,2 MICHELIN Stars,Worth a detour,295.0,295.0
465,Sabero,"Roerkade 39, Roermond, 6041 KZ, Netherlands",Roermond,85.0,139.0,EUR,"Modern French, World Cuisine",5.9838694,51.1962723,31475723101,https://guide.michelin.com/en/limburg/roermond/restaurant/sabero,http://www.restaurant-sabero.nl/,2 MICHELIN Stars,Worth a detour,100.555,164.437
466,'t Nonnetje,"Vischmarkt 38, Harderwijk, 3841 BG, Netherlands",Harderwijk,75.0,165.0,EUR,"Creative, Modern French",5.6202128,52.3509952,31341415848,https://guide.michelin.com/en/gelderland/harderwijk/restaurant/t-nonnetje,https://www.hetnonnetje.nl/,2 MICHELIN Stars,Worth a detour,88.72500000000001,195.19500000000002
467,De Lindenhof,"Beulakerweg 77, Giethoorn, 8355 AC, Netherlands",Giethoorn,125.0,150.0,EUR,Creative,6.08019,52.74574,31521361444,https://guide.michelin.com/en/overijssel/giethoorn/restaurant/de-lindenhof,https://www.restaurantdelindenhof.nl/,2 MICHELIN Stars,Worth a detour,147.875,177.45000000000002
468,Restaurant 212,"Amstel 212, Amsterdam, 1017 AH, Netherlands",Amsterdam,119.0,188.0,EUR,Creative,4.9003151,52.365884,31203348685,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/restaurant-212,https://www.restaurant-212.com/,2 MICHELIN Stars,Worth a detour,140.77700000000002,222.404
469,Aan de Poel,"Handweg 1, Amstelveen, 1185 TS, Netherlands",Amstelveen,79.0,149.0,EUR,Creative,4.8447563,52.2997964,31203451763,https://guide.michelin.com/en/noord-holland/amstelveen/restaurant/aan-de-poel,https://www.aandepoel.nl/,2 MICHELIN Stars,Worth a detour,93.45700000000001,176.267
470,De Treeswijkhoeve,"Valkenswaardseweg 14, Waalre, 5582 VB, Netherlands",Waalre,95.0,170.0,EUR,Creative,5.4693081,51.3780193,31402215593,https://guide.michelin.com/en/noord-brabant/waalre/restaurant/de-treeswijkhoeve,https://www.treeswijkhoeve.nl/,2 MICHELIN Stars,Worth a detour,112.385,201.11
471,Brut172,"Reijmerstokkerdorpsstraat 143, Reijmerstok, 6274 NK, Netherlands",Reijmerstok,150.0,195.0,EUR,Creative,5.836146,50.7967588,0,https://guide.michelin.com/en/limburg/reijmerstok/restaurant/brut172,https://www.brut172.com/,2 MICHELIN Stars,Worth a detour,177.45000000000002,230.685
472,Ciel Bleu,"Ferdinand Bolstraat 333, Amsterdam, 1072 LH, Netherlands",Amsterdam,205.0,595.0,EUR,Creative,4.8928264,52.3486359,312067888300,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/ciel-bleu,https://www.cielbleu.nl/,2 MICHELIN Stars,Worth a detour,242.51500000000001,703.885
473,Pure C,"Boulevard de Wielingen 49, Cadzand-Bad, 4506 JK, Netherlands",Cadzand-Bad,145.0,250.0,EUR,Creative,3.3868819,51.378479,31117392110,https://guide.michelin.com/en/zeeland/cadzand-bad/restaurant/pure-c,https://www.pure-c.nl/,2 MICHELIN Stars,Worth a detour,171.535,295.75
474,De Lindehof,"Beekstraat 1, Nuenen, 5671 CS, Netherlands",Nuenen,105.0,175.0,EUR,Creative,5.5547065,51.4765594,31402837336,https://guide.michelin.com/en/noord-brabant/nuenen/restaurant/de-lindehof,https://www.restaurant-delindehof.com/,2 MICHELIN Stars,Worth a detour,124.215,207.025
475,Tribeca,"Jan Deckersstraat 7, Heeze, 5591 HN, Netherlands",Heeze,85.0,195.0,EUR,Creative,5.577939,51.3793,31402263232,https://guide.michelin.com/en/noord-brabant/heeze/restaurant/tribeca502881,https://www.restaurant-tribeca.com,2 MICHELIN Stars,Worth a detour,100.555,230.685
476,FG - François Geurds,"Katshoek 37B, Rotterdam, 3032 AE, Netherlands",Rotterdam,100.0,210.0,EUR,Creative,4.4795369,51.9265521,31104250520,https://guide.michelin.com/en/zuid-holland/rotterdam/restaurant/fg-francois-geurds,https://www.fgrestaurant.nl/,2 MICHELIN Stars,Worth a detour,118.30000000000001,248.43
477,De Kromme Watergang,"Slijkplaat 6, Hoofdplaat, 4513 KK, Netherlands",Hoofdplaat,62.0,225.0,EUR,"Country cooking, Modern Cuisine",3.6028432,51.3773498,31117348696,https://guide.michelin.com/en/zeeland/hoofdplaat/restaurant/de-kromme-watergang,https://www.krommewatergang.nl/,2 MICHELIN Stars,Worth a detour,73.346,266.175
478,De Bokkedoorns,"Zeeweg 53, Overveen, 2051 EB, Netherlands",Overveen,75.0,155.0,EUR,Modern Cuisine,4.57934,52.39688,31235263600,https://guide.michelin.com/en/noord-holland/overveen/restaurant/de-bokkedoorns,https://www.bokkedoorns.nl/,2 MICHELIN Stars,Worth a detour,88.72500000000001,183.365
479,Fred,"Honingerdijk 263, Rotterdam, 3063 AM, Netherlands",Rotterdam,84.0,188.0,EUR,Creative French,4.5177715,51.9170043,31102120110,https://guide.michelin.com/en/zuid-holland/rotterdam/restaurant/fred,https://www.restaurantfred.nl/,2 MICHELIN Stars,Worth a detour,99.372,222.404
480,Spectrum,"Herengracht 542, Amsterdam, 1017 CG, Netherlands",Amsterdam,130.0,180.0,EUR,Creative,4.89701,52.36478,31207184635,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/spectrum437663,https://www.restaurantspectrum.com/,2 MICHELIN Stars,Worth a detour,153.79000000000002,212.94
481,De Groene Lantaarn,"Gemeenteweg 364, Staphorst, 7951 PG, Netherlands",Staphorst,65.0,145.0,EUR,"Creative, Seasonal Cuisine",6.2466765,52.6601173,31522463116,https://guide.michelin.com/en/overijssel/staphorst/restaurant/de-groene-lantaarn,https://www.degroenelantaarn.com/,2 MICHELIN Stars,Worth a detour,76.89500000000001,171.535
482,Parkheuvel,"Heuvellaan 21, Rotterdam, 3016 GL, Netherlands",Rotterdam,49.0,170.0,EUR,Modern Cuisine,4.4715943,51.903823,31104360766,https://guide.michelin.com/en/zuid-holland/rotterdam/restaurant/parkheuvel,https://www.parkheuvel.nl/,2 MICHELIN Stars,Worth a detour,57.967000000000006,201.11
483,Stucki - Tanja Grandits,"Bruderholzallee 42, Basel, 4059, Switzerland",Basel,88.0,240.0,CHF,"Creative, Modern Cuisine",7.5869107,47.5336861,41613618222,https://guide.michelin.com/en/basel-stadt/basel/restaurant/stucki-tanja-grandits,https://www.tanjagrandits.ch/,2 MICHELIN Stars,Worth a detour,93.28,254.4
484,Maison Wenger,"Rue de la Gare 2, Le Noirmont, 2340, Switzerland",Le Noirmont,125.0,275.0,CHF,"Modern French, French",6.9572319,47.2238496,41329576633,https://guide.michelin.com/en/jura/le-noirmont/restaurant/maison-wenger,https://www.maisonwenger.ch/,2 MICHELIN Stars,Worth a detour,132.5,291.5
485,Da Vittorio,"Via Johannes Badrutt 11, Saint Moritz, 7500, Switzerland",Saint Moritz,250.0,450.0,CHF,Italian,9.8468053,46.4998838,41818367000,https://guide.michelin.com/en/graubunden/sankt-moritz/restaurant/da-vittorio384903,https://www.carlton-stmoritz.ch/,2 MICHELIN Stars,Worth a detour,265.0,477.0
486,focus ATELIER,"Seestrasse 18, Vitznau, 6354, Switzerland",Vitznau,225.0,265.0,CHF,Creative,8.4783587,47.0149066,41413996060,https://guide.michelin.com/en/luzern-region/vitznau/restaurant/focus,http://www.parkhotel-vitznau.ch,2 MICHELIN Stars,Worth a detour,238.5,280.90000000000003
487,Cà d'Oro,"Via Mezdi 27, Saint Moritz, 7500, Switzerland",Saint Moritz,160.0,287.0,CHF,Mediterranean Cuisine,9.833657,46.4825552,41818383081,https://guide.michelin.com/en/graubunden/sankt-moritz/restaurant/ca-d-oro,https://www.kempinski.com/stmoritz,2 MICHELIN Stars,Worth a detour,169.60000000000002,304.22
488,Ecco,"via del Segnale 10, Ascona, 6612, Switzerland",Ascona,185.0,240.0,CHF,Creative,8.7905612,46.1504192,41917858888,https://guide.michelin.com/en/ticino/ascona/restaurant/ecco,https://www.giardino-ascona.ch/,2 MICHELIN Stars,Worth a detour,196.10000000000002,254.4
489,Anne-Sophie Pic,"Place du Port 17, Lausanne, 1006, Switzerland",Lausanne,270.0,395.0,CHF,Creative,6.6297747,46.5080909,41216133339,https://guide.michelin.com/en/vaud/lausanne/restaurant/anne-sophie-pic,https://www.brp.ch/,2 MICHELIN Stars,Worth a detour,286.2,418.70000000000005
490,Taverne zum Schäfli,"Oberdorfstrasse 8, Wigoltingen, 8556, Switzerland",Wigoltingen,89.0,220.0,CHF,"Classic French, Market Cuisine",9.0325819,47.5957416,41527631172,https://guide.michelin.com/en/thurgau/wigoltingen/restaurant/taverne-zum-schafli,https://www.schaefli-wigoltingen.ch/,2 MICHELIN Stars,Worth a detour,94.34,233.20000000000002
491,Ecco St. Moritz,"Via Maistra 3, Saint Moritz, 7512, Switzerland",Saint Moritz,225.0,300.0,CHF,Creative,9.8109132,46.4776485,41818366300,https://guide.michelin.com/en/graubunden/sankt-moritz/restaurant/ecco-st-moritz,https://www.giardinohotels.ch/,2 MICHELIN Stars,Worth a detour,238.5,318.0
492,Einstein Gourmet,"Berneggstrasse 2, Sankt Gallen, 9000, Switzerland",Sankt Gallen,165.0,215.0,CHF,"Creative, Modern Cuisine",9.3754612,47.42153,41712275555,https://guide.michelin.com/en/sankt-gallen-region/sankt-gallen/restaurant/einstein-gourmet,https://www.einstein.ch/,2 MICHELIN Stars,Worth a detour,174.9,227.9
493,7132 Silver,"Poststrasse 560, Vals, 7132, Switzerland",Vals,275.0,275.0,CHF,"Creative, Innovative",9.181299,46.6226102,41587132000,https://guide.michelin.com/en/graubunden/vals/restaurant/7132-silver,https://www.7132silver.com/,2 MICHELIN Stars,Worth a detour,291.5,291.5
494,Domaine de Châteauvieux,"Chemin de Châteauvieux 16, Satigny, 1242, Switzerland",Satigny,98.0,320.0,CHF,"Modern French, French",6.0388597,46.201566,41227531511,https://guide.michelin.com/en/geneve-region/satigny/restaurant/domaine-de-chateauvieux,https://www.chateauvieux.ch/,2 MICHELIN Stars,Worth a detour,103.88000000000001,339.20000000000005
495,The Restaurant,"Kurhausstrasse 65, Zurich, 8000, Switzerland",Zurich,112.0,298.0,CHF,"Creative, Modern Cuisine",8.5731534,47.3726725,41444566000,https://guide.michelin.com/en/zurich-region/zurich/restaurant/the-restaurant196194,https://www.thedoldergrand.com/,2 MICHELIN Stars,Worth a detour,118.72,315.88
496,Gasthaus Zur Fernsicht - Incantare,"Seeallee 10, Heiden, 9410, Switzerland",Heiden,250.0,250.0,CHF,"Classic Cuisine, Creative",9.5319821,47.4460884,41718984040,https://guide.michelin.com/en/appenzell-ausserrhoden/heiden/restaurant/gasthaus-zur-fernsicht-incantare,https://www.fernsicht-heiden.ch/,2 MICHELIN Stars,Worth a detour,265.0,265.0
497,Magdalena,"Rickenbachstrasse 127, Schwyz, 6417, Switzerland",Schwyz,165.0,185.0,CHF,"Modern Cuisine, Seasonal Cuisine",8.6659803,47.0169188,41418100606,https://guide.michelin.com/en/schwyz/schwyz/restaurant/magdalena,https://www.restaurant-magdalena.ch/,2 MICHELIN Stars,Worth a detour,174.9,196.10000000000002
498,Memories,"Bernhard-Simon-Strasse 2, Bad Ragaz, 7310, Switzerland",Bad Ragaz,229.0,329.0,CHF,"Creative, Market Cuisine",9.5037741,47.0002941,41813033036,https://guide.michelin.com/en/sankt-gallen-region/bad-ragaz/restaurant/memories,https://www.memories.ch/,2 MICHELIN Stars,Worth a detour,242.74,348.74
499,IGNIV by Andreas Caminada,"Via Serlas 27, Saint Moritz, 7500, Switzerland",Saint Moritz,220.0,280.0,CHF,Creative,9.8412809,46.4977033,41818372822,https://guide.michelin.com/en/graubunden/sankt-moritz/restaurant/igniv-by-andreas-caminada522914,http://www.igniv.com,2 MICHELIN Stars,Worth a detour,233.20000000000002,296.8
500,Widder Restaurant,"Rennweg 7, Zurich, 8001, Switzerland",Zurich,160.0,260.0,CHF,"Modern French, Contemporary",8.5399225,47.3724496,41442242412,https://guide.michelin.com/en/zurich-region/zurich/restaurant/widder-restaurant,https://www.widderhotel.com/,2 MICHELIN Stars,Worth a detour,169.60000000000002,275.6
501,Adelboden,"Adelboden 3, Steinen, 6422, Switzerland",Steinen,148.0,195.0,CHF,"Classic French, Classic Cuisine",8.6212395,47.0611802,41418321242,https://guide.michelin.com/en/schwyz/steinen/restaurant/adelboden,https://www.wiget-adelboden.ch/,2 MICHELIN Stars,Worth a detour,156.88,206.70000000000002
502,IGNIV by Andreas Caminada,"Bernhard-Simon-Strasse 2, Bad Ragaz, 7310, Switzerland",Bad Ragaz,158.0,248.0,CHF,Creative,9.5022986,47.0003991,41813033021,https://guide.michelin.com/en/sankt-gallen-region/bad-ragaz/restaurant/igniv-by-andreas-caminada,https://www.igniv.com/,2 MICHELIN Stars,Worth a detour,167.48000000000002,262.88
503,Pavillon,"Talstrasse 1, Zurich, 8001, Switzerland",Zurich,205.0,275.0,CHF,Classic French,8.5395326,47.3670912,41442205022,https://guide.michelin.com/en/zurich-region/zurich/restaurant/pavillon,https://www.aupavillon.ch/,2 MICHELIN Stars,Worth a detour,217.3,291.5
504,Sens,"Seestrasse 80, Vitznau, 6354, Switzerland",Vitznau,145.0,195.0,CHF,"Modern Cuisine, Market Cuisine",8.4826863,47.008021,41413997777,https://guide.michelin.com/en/luzern-region/vitznau/restaurant/sens279709,https://www.vitznauerhof.ch/,2 MICHELIN Stars,Worth a detour,153.70000000000002,206.70000000000002
505,RICO'S,"Seestrasse 160, Küsnacht, 8700, Switzerland",Küsnacht,66.0,260.0,CHF,"Modern Cuisine, Mediterranean Cuisine",8.5800672,47.3155646,41449100715,https://guide.michelin.com/en/zurich-region/ksnacht/restaurant/rico-s,https://www.ricozandonella.ch/,2 MICHELIN Stars,Worth a detour,69.96000000000001,275.6
506,Auberge du Cheval Blanc,"4 rue de Wissembourg, Lembach, 67510, France",Lembach,82.0,145.0,EUR,Creative,7.7902036,49.003531,33388944186,https://guide.michelin.com/en/grand-est/lembach/restaurant/auberge-du-cheval-blanc4111,https://www.au-cheval-blanc.fr/,2 MICHELIN Stars,Worth a detour,97.006,171.535
507,La Table d'Olivier Nasti,"9-13 rue du Général-de-Gaulle, Kaysersberg, 68240, France",Kaysersberg,165.0,240.0,EUR,Creative,7.265581,48.1386233,33389476464,https://guide.michelin.com/en/grand-est/kaysersberg/restaurant/la-table-d-olivier-nasti,https://www.lechambard.fr/,2 MICHELIN Stars,Worth a detour,195.19500000000002,283.92
508,La Table de l'Alpaga,"Alpaga, 66 allée des Marmoussets, route du Prariand, Megève, 74120, France",Megève,130.0,190.0,EUR,Modern Cuisine,6.600987,45.8524843,33450914870,https://guide.michelin.com/en/auvergne-rhone-alpes/megve/restaurant/la-table-de-l-alpaga,https://www.beaumier.com/fr/proprietes/hotel-alpaga/hiver/restaurants/,2 MICHELIN Stars,Worth a detour,153.79000000000002,224.77
509,Jean Sulpice,"303 route du Port, Talloires-Montmin, 74290, France",Talloires-Montmin,235.0,275.0,EUR,Creative,6.210745,45.839825,33450607201,https://guide.michelin.com/en/auvergne-rhone-alpes/talloires-montmin/restaurant/jean-sulpice,https://www.perebise.com/,2 MICHELIN Stars,Worth a detour,278.005,325.325
510,La Pyramide - Patrick Henriroux,"14 boulevard Fernand-Point, Vienne, 38200, France",Vienne,79.0,204.0,EUR,Modern Cuisine,4.8667852,45.516812,33474530196,https://guide.michelin.com/en/auvergne-rhone-alpes/vienne/restaurant/la-pyramide-patrick-henriroux,https://www.lapyramide.com/,2 MICHELIN Stars,Worth a detour,93.45700000000001,241.33200000000002
511,Le Montgomerie,"Le K2 Altitude, 356 route de l'Altiport, Courchevel 1850, Courchevel, 73120, France",Courchevel,230.0,310.0,EUR,"Creative, Modern Cuisine",6.638027,45.40243,33479014646,https://guide.michelin.com/en/auvergne-rhone-alpes/courchevel/restaurant/le-montgomerie,https://www.lek2altitude.com/,2 MICHELIN Stars,Worth a detour,272.09000000000003,366.73
512,Serge Vieira,"Le Couffour, Chaudes-Aigues, 15110, France",Chaudes-Aigues,130.0,215.0,EUR,Creative,3.0019755,44.8445059,33471207385,https://guide.michelin.com/en/auvergne-rhone-alpes/chaudes-aigues/restaurant/serge-vieira,https://www.sergevieira.com/,2 MICHELIN Stars,Worth a detour,153.79000000000002,254.345
513,Racine,"6 place Godinot, Reims, 51100, France",Reims,80.0,205.0,EUR,Modern Cuisine,4.0375656,49.2528907,33326351695,https://guide.michelin.com/en/grand-est/reims/restaurant/racine,https://www.racine.re/,2 MICHELIN Stars,Worth a detour,94.64,242.51500000000001
514,Sarkara,"Le K2 Palace, 238 rue des Clarines, Courchevel 1850, Courchevel, 73120, France",Courchevel,175.0,250.0,EUR,Creative,6.6387485,45.4121633,33479400880,https://guide.michelin.com/en/auvergne-rhone-alpes/courchevel/restaurant/sarkara,https://www.lek2palace.com/,2 MICHELIN Stars,Worth a detour,207.025,295.75
515,Au 14 Février,"Le Plâtre-Durand, Saint-Amour-Bellevue, 71570, France",Saint-Amour-Bellevue,87.0,125.0,EUR,Creative,4.7492881,46.2420774,33385371145,https://guide.michelin.com/en/bourgogne-franche-comte/saint-amour-bellevue/restaurant/au-14-fevrier420131,https://www.sa-au14fevrier.com/,2 MICHELIN Stars,Worth a detour,102.921,147.875
516,La Côte d'Or,"Le Relais Bernard Loiseau, 2 avenue Bernard-Loiseau, Saulieu, 21210, France",Saulieu,165.0,255.0,EUR,Modern Cuisine,4.2321852,47.2797873,33380905353,https://guide.michelin.com/en/bourgogne-franche-comte/saulieu/restaurant/la-cote-d-or,https://www.bernard-loiseau.com/,2 MICHELIN Stars,Worth a detour,195.19500000000002,301.665
517,La Maison des Bois - Marc Veyrat,"Au Col de la Croix-Fry, Manigod, 74230, France",Manigod,295.0,395.0,EUR,Creative,6.3689627,45.8717894,33450600000,https://guide.michelin.com/en/auvergne-rhone-alpes/manigod/restaurant/la-maison-des-bois-marc-veyrat,https://www.marc-veyrat.fr/,2 MICHELIN Stars,Worth a detour,348.985,467.285
518,Les Hauts de Loire,"79 rue Gilbert-Navard, Onzain, 41150, France",Onzain,89.0,175.0,EUR,Classic Cuisine,1.1432985,47.5088905,33254207257,https://guide.michelin.com/en/centre-val-de-loire/onzain/restaurant/domaine-des-hauts-de-loire,https://www.hautsdeloire.com/,2 MICHELIN Stars,Worth a detour,105.287,207.025
519,Michel Kayser - Restaurant Alexandre,"2 rue Xavier-Tronc, Garons, 30128, France",Garons,102.0,223.0,EUR,Modern Cuisine,4.4224997,43.7682129,33466700899,https://guide.michelin.com/en/occitanie/garons/restaurant/alexandre,https://www.michelkayser.com/,2 MICHELIN Stars,Worth a detour,120.66600000000001,263.809
520,La Table de Pavie,"5 place du Clocher, Saint-Emilion, 33330, France",Saint-Emilion,75.0,215.0,EUR,"Modern Cuisine, Creative",-0.1567502,44.8935395,33557550755,https://guide.michelin.com/en/nouvelle-aquitaine/saint-milion/restaurant/hostellerie-de-plaisance,https://www.hoteldepavie.com,2 MICHELIN Stars,Worth a detour,88.72500000000001,254.345
521,Le Kintessence,"Le K2 Palace, 238 rue des Clarines, Courchevel 1850, Courchevel, 73120, France",Courchevel,250.0,350.0,EUR,"Modern Cuisine, Creative",6.6387314,45.4121683,33479400880,https://guide.michelin.com/en/auvergne-rhone-alpes/courchevel/restaurant/le-kintessence,https://www.lek2palace.com/,2 MICHELIN Stars,Worth a detour,295.75,414.05
