"","Award","Min_Price...","Max_Price..."
"415","Bib Gourmand",25,50
"416","Bib Gourmand",25,125
"417","1 MICHELIN Star",25,415
"418","1 MICHELIN Star",25,155
"419","1 MICHELIN Star",25,100
"420","1 MICHELIN Star",25,145
"421","Bib Gourmand",25,40
"422","Bib Gourmand",25,75
"423","Bib Gourmand",25,70
"424","Bib Gourmand",25,50
"425","Bib Gourmand",25,40
"426","Bib Gourmand",25,70
"427","Bib Gourmand",25,50
"428","Bib Gourmand",25,75
"429","Bib Gourmand",25,35
"430","Bib Gourmand",25,70
"431","Bib Gourmand",25,75
"432","Bib Gourmand",25,25
"433","Bib Gourmand",25,40
"434","Bib Gourmand",25,70
"435","Bib Gourmand",25,40
"436","Bib Gourmand",25,70
"437","Bib Gourmand",25,70
"438","Bib Gourmand",25,60
"439","Bib Gourmand",25,60
"440","Bib Gourmand",25,35
"441","Bib Gourmand",25,35
"442","Bib Gourmand",25,65
"443","Bib Gourmand",25,60
"444","Bib Gourmand",25,25
"445","1 MICHELIN Star",25,25
"446","1 MICHELIN Star",25,130
"447","Bib Gourmand",25,50
"448","Bib Gourmand",25,25
"449","Bib Gourmand",25,35
"450","Bib Gourmand",25,70
"451","Bib Gourmand",25,50
"452","Bib Gourmand",25,85
"453","Bib Gourmand",25,65
"454","Bib Gourmand",25,65
"455","Bib Gourmand",25,85
"456","Bib Gourmand",25,65
"457","Bib Gourmand",25,65
"458","Bib Gourmand",25,45
"459","Bib Gourmand",25,45
"460","Bib Gourmand",25,60
"461","Bib Gourmand",25,45
"462","Bib Gourmand",25,70
"463","Bib Gourmand",25,55
"464","Bib Gourmand",25,85
"465","Bib Gourmand",25,70
"466","Bib Gourmand",25,65
"467","Bib Gourmand",25,40
"468","Bib Gourmand",25,80
"469","Bib Gourmand",25,65
"470","Bib Gourmand",25,70
"471","Bib Gourmand",25,85
"472","Bib Gourmand",25,80
"473","Bib Gourmand",25,70
"474","Bib Gourmand",25,85
"475","Bib Gourmand",25,55
"476","Bib Gourmand",25,60
"477","Bib Gourmand",25,45
"478","Bib Gourmand",25,85
"479","Bib Gourmand",25,70
"480","Bib Gourmand",25,70
"481","Bib Gourmand",25,65
"482","Bib Gourmand",25,80
"483","Bib Gourmand",25,85
"484","Bib Gourmand",25,115
"485","Bib Gourmand",25,65
"486","Bib Gourmand",25,40
"487","Bib Gourmand",25,95
"488","Bib Gourmand",25,45
"489","Bib Gourmand",25,75
"490","Bib Gourmand",25,50
"491","Bib Gourmand",25,120
"492","Bib Gourmand",25,25
"493","Bib Gourmand",25,85
"494","Bib Gourmand",25,30
"495","Bib Gourmand",25,25
"496","Bib Gourmand",25,25
"497","Bib Gourmand",25,25
"498","Bib Gourmand",25,50
"499","Bib Gourmand",25,25
"500","Bib Gourmand",25,75
"501","Bib Gourmand",25,65
"502","Bib Gourmand",25,50
"503","Bib Gourmand",25,115
"504","Bib Gourmand",25,110
"505","Bib Gourmand",25,65
"506","Bib Gourmand",25,75
"507","Bib Gourmand",25,70
"508","Bib Gourmand",25,80
"509","Bib Gourmand",25,100
"510","Bib Gourmand",25,80
"511","Bib Gourmand",25,65
"512","Bib Gourmand",25,95
"513","Bib Gourmand",25,75
"514","Bib Gourmand",25,75
"515","Bib Gourmand",25,85
"516","Bib Gourmand",25,80
"517","Bib Gourmand",25,85
"518","Bib Gourmand",30,60
"519","Bib Gourmand",30,60
"520","Bib Gourmand",30,60
"521","Bib Gourmand",30,65
"522","Bib Gourmand",30,70
"523","1 MICHELIN Star",30,140
"524","1 MICHELIN Star",30,95
"525","Bib Gourmand",30,75
"526","Bib Gourmand",30,80
"527","Bib Gourmand",30,75
"528","Bib Gourmand",30,60
"529","Bib Gourmand",30,45
"530","Bib Gourmand",30,45
"531","Bib Gourmand",30,40
"532","Bib Gourmand",30,60
"533","Bib Gourmand",30,70
"534","Bib Gourmand",30,55
"535","Bib Gourmand",30,60
"536","Bib Gourmand",30,85
"537","Bib Gourmand",30,90
"538","Bib Gourmand",30,40
"539","Bib Gourmand",30,55
"540","Bib Gourmand",30,65
"541","Bib Gourmand",30,110
"542","Bib Gourmand",30,85
"543","Bib Gourmand",30,55
"544","Bib Gourmand",30,90
"545","Bib Gourmand",30,65
"546","Bib Gourmand",30,80
"547","Bib Gourmand",30,135
"548","Bib Gourmand",30,55
"549","Bib Gourmand",30,70
"550","Bib Gourmand",30,65
"551","Bib Gourmand",30,70
"552","Bib Gourmand",30,65
"553","Bib Gourmand",30,95
"554","Bib Gourmand",30,80
"555","Bib Gourmand",30,40
"556","Bib Gourmand",30,75
"557","Bib Gourmand",30,70
"558","Bib Gourmand",30,65
"559","Bib Gourmand",30,30
"560","1 MICHELIN Star",30,295
"561","Bib Gourmand",30,30
"562","Bib Gourmand",30,30
"563","Bib Gourmand",30,85
"564","Bib Gourmand",30,30
"565","Bib Gourmand",30,55
"566","Bib Gourmand",30,30
"567","1 MICHELIN Star",30,105
"568","1 MICHELIN Star",30,130
"569","1 MICHELIN Star",30,120
"570","1 MICHELIN Star",30,105
"571","1 MICHELIN Star",30,120
"572","Bib Gourmand",30,55
"573","Bib Gourmand",30,90
"574","Bib Gourmand",30,85
"575","Bib Gourmand",30,65
"576","Bib Gourmand",30,50
"577","Bib Gourmand",30,60
"578","Bib Gourmand",30,65
"579","Bib Gourmand",30,80
"580","Bib Gourmand",30,105
"581","Bib Gourmand",30,50
"582","Bib Gourmand",30,55
"583","Bib Gourmand",30,70
"584","Bib Gourmand",30,60
"585","Bib Gourmand",30,70
"586","Bib Gourmand",30,55
"587","Bib Gourmand",30,55
"588","Bib Gourmand",30,45
"589","Bib Gourmand",30,70
"590","Bib Gourmand",30,70
"591","Bib Gourmand",30,50
"592","Bib Gourmand",30,65
"593","Bib Gourmand",30,45
"594","Bib Gourmand",30,50
"595","Bib Gourmand",30,75
"596","Bib Gourmand",30,65
"597","Bib Gourmand",30,45
"598","Bib Gourmand",30,45
"599","Bib Gourmand",30,45
"600","Bib Gourmand",30,60
"601","Bib Gourmand",30,50
"602","Bib Gourmand",30,65
"603","Bib Gourmand",30,60
"604","Bib Gourmand",30,40
"605","Bib Gourmand",30,70
"606","Bib Gourmand",30,50
"607","Bib Gourmand",30,60
"608","Bib Gourmand",30,60
"609","Bib Gourmand",30,45
"610","Bib Gourmand",30,55
"611","Bib Gourmand",30,55
"612","Bib Gourmand",30,45
"613","Bib Gourmand",30,60
"614","Bib Gourmand",30,60
"615","Bib Gourmand",30,40
"616","Bib Gourmand",30,45
"617","Bib Gourmand",30,55
"618","Bib Gourmand",30,75
"619","Bib Gourmand",30,55
"620","Bib Gourmand",30,90
"621","Bib Gourmand",30,55
"622","Bib Gourmand",30,65
"623","Bib Gourmand",30,70
"624","Bib Gourmand",30,60
"625","Bib Gourmand",30,80
"626","Bib Gourmand",30,50
"627","Bib Gourmand",30,60
"628","Bib Gourmand",30,65
"629","Bib Gourmand",30,85
"630","Bib Gourmand",30,70
"631","Bib Gourmand",30,60
"632","Bib Gourmand",30,65
"633","Bib Gourmand",30,70
"634","Bib Gourmand",30,70
"635","Bib Gourmand",30,80
"636","Bib Gourmand",30,60
"637","Bib Gourmand",30,45
"638","Bib Gourmand",30,70
"639","Bib Gourmand",30,100
"640","Bib Gourmand",30,60
"641","Bib Gourmand",30,65
"642","Bib Gourmand",30,80
"643","Bib Gourmand",30,80
"644","Bib Gourmand",30,65
"645","Bib Gourmand",30,65
"646","Bib Gourmand",30,50
"647","Bib Gourmand",30,60
"648","Bib Gourmand",30,70
"649","Bib Gourmand",30,55
"650","Bib Gourmand",30,95
"651","Bib Gourmand",30,95
"652","Bib Gourmand",30,50
"653","Bib Gourmand",30,75
"654","Bib Gourmand",30,40
"655","Bib Gourmand",30,40
"656","Bib Gourmand",30,75
"657","Bib Gourmand",30,85
"658","Bib Gourmand",30,60
"659","Bib Gourmand",30,85
"660","Bib Gourmand",30,65
"661","Bib Gourmand",30,90
"662","Bib Gourmand",30,95
"663","Bib Gourmand",30,70
"664","Bib Gourmand",30,90
"665","Bib Gourmand",30,90
"666","Bib Gourmand",30,55
"667","Bib Gourmand",30,70
"668","Bib Gourmand",30,95
"669","Bib Gourmand",30,90
"670","Bib Gourmand",30,70
"671","Bib Gourmand",30,50
"672","Bib Gourmand",30,90
"673","1 MICHELIN Star",30,110
"674","1 MICHELIN Star",30,130
"675","Bib Gourmand",30,60
"676","Bib Gourmand",30,70
"677","Bib Gourmand",30,40
"678","Bib Gourmand",30,70
"679","Bib Gourmand",30,60
"680","Bib Gourmand",30,70
"681","Bib Gourmand",30,75
"682","Bib Gourmand",30,50
"683","Bib Gourmand",30,75
"684","Bib Gourmand",30,30
"685","Bib Gourmand",30,30
"686","Bib Gourmand",30,45
"687","Bib Gourmand",30,45
"688","Bib Gourmand",30,75
"689","Bib Gourmand",30,30
"690","Bib Gourmand",30,30
"691","Bib Gourmand",30,30
"692","Bib Gourmand",30,50
"693","Bib Gourmand",30,30
"694","Bib Gourmand",30,50
"695","Bib Gourmand",30,75
"696","Bib Gourmand",30,50
"697","Bib Gourmand",30,30
"698","Bib Gourmand",30,30
"699","Bib Gourmand",30,45
"700","Bib Gourmand",30,50
"701","Bib Gourmand",30,30
"702","Bib Gourmand",30,50
"703","Bib Gourmand",30,50
"704","Bib Gourmand",30,90
"705","Bib Gourmand",30,30
"706","Bib Gourmand",30,45
"707","Bib Gourmand",30,65
"708","2 MICHELIN Stars",30,125
"709","Bib Gourmand",30,110
"710","Bib Gourmand",30,85
"711","1 MICHELIN Star",30,190
"712","1 MICHELIN Star",30,100
"713","1 MICHELIN Star",30,125
"714","1 MICHELIN Star",30,80
"715","1 MICHELIN Star",30,110
"716","1 MICHELIN Star",30,85
"717","1 MICHELIN Star",30,105
"718","Bib Gourmand",30,60
"719","Bib Gourmand",30,75
"720","Bib Gourmand",30,55
"721","Bib Gourmand",30,80
"722","Bib Gourmand",30,85
"723","Bib Gourmand",30,60
"724","Bib Gourmand",30,50
"725","Bib Gourmand",30,60
"726","Bib Gourmand",30,50
"727","Bib Gourmand",30,85
"728","Bib Gourmand",30,70
"729","Bib Gourmand",30,70
"730","Bib Gourmand",30,100
"731","Bib Gourmand",30,40
"732","Bib Gourmand",30,40
"733","Bib Gourmand",30,70
"734","Bib Gourmand",30,75
"735","Bib Gourmand",30,60
"736","Bib Gourmand",30,95
"737","Bib Gourmand",30,90
"738","Bib Gourmand",30,75
"739","Bib Gourmand",30,40
"740","Bib Gourmand",30,95
"741","Bib Gourmand",30,50
"742","Bib Gourmand",30,60
"743","Bib Gourmand",30,30
"744","Bib Gourmand",30,55
"745","Bib Gourmand",30,65
"746","Bib Gourmand",30,95
"747","Bib Gourmand",30,90
"748","1 MICHELIN Star",30,200
"749","1 MICHELIN Star",30,175
"750","1 MICHELIN Star",30,95
"751","1 MICHELIN Star",30,90
"752","Bib Gourmand",30,90
"753","Bib Gourmand",30,105
"754","Bib Gourmand",30,70
"755","Bib Gourmand",30,50
"756","Bib Gourmand",30,45
"757","Bib Gourmand",30,50
"758","Bib Gourmand",30,65
"759","Bib Gourmand",30,70
"760","Bib Gourmand",30,45
"761","Bib Gourmand",30,80
"762","Bib Gourmand",30,70
"763","Bib Gourmand",30,45
"764","Bib Gourmand",30,90
"765","Bib Gourmand",30,85
"766","Bib Gourmand",30,65
"767","Bib Gourmand",30,70
"768","Bib Gourmand",30,70
"769","Bib Gourmand",30,90
"770","Bib Gourmand",30,60
"771","Bib Gourmand",30,55
"772","Bib Gourmand",30,65
"773","Bib Gourmand",30,70
"774","Bib Gourmand",30,85
"775","Bib Gourmand",30,55
"776","Bib Gourmand",30,75
"777","Bib Gourmand",30,85
"778","Bib Gourmand",30,85
"779","Bib Gourmand",30,70
"780","Bib Gourmand",30,45
"781","Bib Gourmand",35,35
"782","Bib Gourmand",35,35
"783","Bib Gourmand",35,65
"784","Bib Gourmand",35,95
"785","Bib Gourmand",35,40
"786","Bib Gourmand",35,65
"787","1 MICHELIN Star",35,90
"788","1 MICHELIN Star",35,140
"789","1 MICHELIN Star",35,95
"790","1 MICHELIN Star",35,135
"791","1 MICHELIN Star",35,85
"792","1 MICHELIN Star",35,115
"793","1 MICHELIN Star",35,130
"794","1 MICHELIN Star",35,85
"795","1 MICHELIN Star",35,75
"796","Bib Gourmand",35,65
"797","Bib Gourmand",35,65
"798","Bib Gourmand",35,55
"799","Bib Gourmand",35,70
"800","Bib Gourmand",35,70
"801","Bib Gourmand",35,65
"802","Bib Gourmand",35,65
"803","Bib Gourmand",35,90
"804","Bib Gourmand",35,90
"805","Bib Gourmand",35,80
"806","Bib Gourmand",35,45
"807","Bib Gourmand",35,40
"808","Bib Gourmand",35,55
"809","Bib Gourmand",35,50
"810","Bib Gourmand",35,70
"811","Bib Gourmand",35,55
"812","Bib Gourmand",35,45
"813","Bib Gourmand",35,45
"814","Bib Gourmand",35,60
"815","Bib Gourmand",35,150
"816","Bib Gourmand",35,80
"817","Bib Gourmand",35,75
"818","Bib Gourmand",35,95
"819","Bib Gourmand",35,80
"820","Bib Gourmand",35,75
"821","Bib Gourmand",35,45
"822","Bib Gourmand",35,50
"823","Bib Gourmand",35,95
"824","Bib Gourmand",35,75
"825","Bib Gourmand",35,65
"826","Bib Gourmand",35,85
"827","Bib Gourmand",35,85
"828","Bib Gourmand",35,70
"829","Bib Gourmand",35,105
"830","Bib Gourmand",35,70
"831","Bib Gourmand",35,60
"832","Bib Gourmand",35,35
"833","Bib Gourmand",35,100
"834","Bib Gourmand",35,120
"835","Bib Gourmand",35,125
"836","Bib Gourmand",35,110
"837","Bib Gourmand",35,155
"838","2 MICHELIN Stars",35,185
"839","1 MICHELIN Star",35,210
"840","Bib Gourmand",35,40
"841","Bib Gourmand",35,50
"842","Bib Gourmand",35,40
"843","Bib Gourmand",35,55
"844","Bib Gourmand",35,50
"845","Bib Gourmand",35,75
"846","Bib Gourmand",35,70
"847","Bib Gourmand",35,40
"848","Bib Gourmand",35,60
"849","Bib Gourmand",35,50
"850","Bib Gourmand",35,75
"851","Bib Gourmand",35,50
"852","Bib Gourmand",35,50
"853","Bib Gourmand",35,65
"854","Bib Gourmand",35,50
"855","Bib Gourmand",35,50
"856","Bib Gourmand",35,70
"857","Bib Gourmand",35,70
"858","Bib Gourmand",35,60
"859","Bib Gourmand",35,80
"860","Bib Gourmand",35,50
"861","Bib Gourmand",35,70
"862","Bib Gourmand",35,35
"863","1 MICHELIN Star",35,95
"864","1 MICHELIN Star",35,95
